"Entry","YouTube Channel URL"
"alkosto_col","https://www.youtube.com/@alkosto"
"arturo_calle","https://www.youtube.com/@arturocalleoficial"
"avon_colombia","https://www.youtube.com/@AVONColombia"
"berlitzcolombia","https://www.youtube.com/@BerlitzColombia"
"carulla","https://www.youtube.com/@CarullaColombia"
"crocscolombia_oficial","https://www.youtube.com/@CrocsColombia"
"cruzrojacol","https://www.youtube.com/@CruzRojaColombiana"
"dagmaoficial","https://www.youtube.com/@DagmaCaliOficial"
"disneyplusla","https://www.youtube.com/@DisneyPlusLA"
"drogueriascafam","https://www.youtube.com/@CafamOficial"
"exito","https://www.youtube.com/@ExitoOficial"
"falabella_co","https://www.youtube.com/@FalabellaCO"
"frisby_col","https://www.youtube.com/@FrisbyColombia"
"homecenter_co","https://www.youtube.com/@HomecenterColombia"
"hpcolombia_","https://www.youtube.com/@hpcolombia"
"lenovocolombia","https://www.youtube.com/@LenovoColombia"
"servientrega_col","https://www.youtube.com/@Servientrega"
"sodimac_co","https://www.youtube.com/@SodimacColombia"
"studio_f","https://www.youtube.com/@StudioFColombia"
"tennis_co","https://www.youtube.com/@TennisColombia"
"totto_col","https://www.youtube.com/@TottoOficial"
