"Entry","Official Website URL"
"afbarranquilla","https://barranquilla.gov.co"
"afbogota",""
"aviacionpolicialcolombia","https://www.policia.gov.co/jefatura-nacional-de-desarrollo-humano/diepo/escuelas-de-especializacion-policial/esavi"
"civix_colombia","https://colombiaone.com/2024/10/10/colombia-civix-democracy-ngo-andres-saenz/"
"cne_colombia","https://www.cne.gov.co/la-entidad/acerca-del-cne"
"consejeriapaz","https://x.com/comisionadopaz?lang=en"
"consejosuperiorjudicatura","https://pj.poder-judicial.go.cr"
"cortesupremaj","https://www.cortesuprema.gov.co/"
"defensoriacol","https://www.defensoria.gov.co/"
"educacion_bogota","https://educacionbogota.edu.co/"
"educacioncali","https://www.cali.gov.co/educacion/"
"educacionmed","https://www.medellin.edu.co/"
"educacionponal","https://www.policia.edu.co/"
"funcionpublicacolombia","https://www.funcionpublica.gov.co/"
"gerenciasocialbaq","https://gerenciasocial.barranquilla.gov.co/"
"gobbolivar","https://www.bolivar.gov.co/"
"gobertolima","https://www.tolima.gov.co/"
"gobiernbta","https://bogota.gov.co/"
"habitatbogota","https://www.habitatbogota.gov.co/"
"bibliotecasmed","https://bibliotecasmedellin.gov.co/"
"icnunal","https://www.icn.unal.edu.co/"
"instituto_humboldt","https://humboldt.org.co/"
"unicaucaposgrados","https://www.unicauca.edu.co/posgrados/"
"unicef_colombia","https://www.unicef.org/colombia/"
"unfpa_colombia","https://colombia.unfpa.org/"
"universidaddelcauca","https://www.unicauca.edu.co/"
"archivodebogota","https://archivobogota.secretariajuridica.gov.co/"
"archivohistoricobaq","https://archivohistoricobaq.gov.co/"
"centromemoriabogota","https://centromemoriabogota.gov.co/"
"centromemioriah",""
"del_colombiaunesco","https://es.unesco.org/country/colombia"
"expoartesano","https://expoartesano.com.co/"
"fiteatrocali","https://fiteatro.com.co/"
"fteatronacional","https://teatronacional.co/"
"goetheinstitut_kolumbien","https://www.goethe.de/ins/co/es/index.html"
"hannsseidelcol","https://www.hss.de/en/latin-america.html"
"iicbogota","https://www.iicbogota.com/"
"jardinbotanicocartagena","https://jardincartagena.com/"
"museodebogota","https://museodebogota.gov.co/"
"cucutanoticias","https://cucutanoticias.com/"
"cucutaturismo","https://cucutaturismo.com/"
"elmetrobogota","https://www.metrobogota.gov.co/"
"senalcolombiatv","https://www.senalcolombia.tv/"
"7upve","https://www.7up.com/ve/"
"aguasdecartagena","https://www.aguasdecartagena.com.co/"
