"Entry","Official Website URL"
"hbolatam","https://www.hbolatam.com/"
"hecho_enbogota","https://hechoenbogota.gov.co/"
"hpcolombia_","https://www.hp.com/co-es/home.html"
"hyundai_col","https://www.hyundai.com/co/es"
"iberiavenezuela","https://www.iberia.com/ve/"
"icanh_co","https://www.icanh.gov.co/"
"ipcc_cartagena","https://www.ipcc.gov.co/"
"istore_ve","https://istore.com.ve/"
"koica_colombia","https://www.koica.go.kr/sites/colombia_en/index.do"
"labogotadayer","https://labogotadayer.com/"
"laprofemonica","https://laprofemonica.com/"
"lccolombia","https://www.lccolombia.com/"
"lenovocolombia","https://www.lenovo.com/co/es"
"limn_ai","https://limnai.com/"
"madeinbucara","https://madeinbucara.com/"
"medellin_guru","https://medellinguru.com/"
"medellinenvideos","https://medellinenvideos.com/"
"onumujeresmx","https://mexico.unwomen.org/"
"oxxocolombia","https://www.oxxo.com.co/"
"agnmex","https://embamex.sre.gob.mx/colombia/"
"alemaniaencolombia","https://bogota.diplo.de/co-es"
"ausembco","https://colombia.embassy.gov.au/"
"chinaembajada","https://co.china-embassy.gov.cn/"
"chinaembpa","https://pa.china-embassy.gov.cn/"
"colombiaembassyus","https://colombiaemb.org/"
"colombiaensuiza","https://es.int.embajada-colombia.ch/"
"colombianembassyuk","https://colombianembassy.co.uk/"
"consuladocolantofa","https://antofagasta.consulado.gov.co/"
"consuladocolmex","https://mexico.consulado.gov.co/"
"consuladocolombiafrance","https://francia.consulado.gov.co/"
"consulveneriohacha","https://riohacha.consulado.gov.ve/"
"consvemedellin","https://medellin.consulado.gov.ve/"
"denmarkinfrance","https://frankrig.um.dk/en/"
"echilecolombia","https://chile.gob.cl/colombia"
"embachilechina","https://china.gob.cl/"
"embacolombiaenvzla","https://venezuela.embajada.gov.co/"
"embajada_del_peru_en_china","https://www.consulado.pe/es/Pekin/"
"embajadacolcanada","https://canada.embajada.gov.co/"
"embajadacolkor","https://corea.embajada.gov.co/"
"embajadacolombia_eau","https://emiratosarabes.embajada.gov.co/"
"embajadacolpan","https://panama.embajada.gov.co/"
"embajadadecolombiaen","Unable to confirm a unique website"
"embajadaecuador.china","https://china.embajada-ecuador.com/"
"embajadagt_col","https://colombia.embajada.gob.gt/"
"embapartaiwan","https://taiwanembassy.org.co/"
"embavechina","https://china.embajada.gob.ve/"
"embavene_col","https://colombia.embajada.gob.ve/"
